Piece_Id,Piece_Wt,Total_Cells,NeuN_Percent,Total_neurons,Cell_Dens_Wt,Neu_Dens_Wt
1,0.115,"21,031,250",0.54,"11,353,523","182,880,435","98,984,511"
2,0.06,"11,406,250",0.601,"6,855,270","190,104,167","114,254,505"
3,0.115,"20,144,531",0.527,"10,610,487","175,169,835","92,425,847"
4,0.108,"23,730,469",0.584,"13,847,780","219,726,565","128,220,184"
5,0.122,"19,421,875",0.559,"10,853,410","159,195,697","89,035,356"
6,0.213,"49,587,891",0.593,"29,426,496","232,807,000","138,282,404"
7,0.168,"34,822,266",0.637,"22,189,723","207,275,393","131,924,629"
8,0.031,"8,232,422",0.577,"4,748,951","265,562,000","152,699,383"
9,0.272,"60,759,766",0.664,"40,320,727","223,381,493","148,020,291"
10,0.262,"69,638,672",0.563,"39,171,753","265,796,458","149,739,117"
11,0.292,"58,871,094",0.646,"38,042,206","201,613,336","130,236,927"
12,0.231,"54,333,984",0.556,"30,224,365","235,212,052","130,954,790"
13,0.119,"35,878,906",0.587,"21,055,680","301,503,412","176,493,543"
14,0.188,"28,968,750",0.57,"16,515,896","154,089,096","87,850,508"
15,0.161,"34,095,703",0.391,"13,325,378","211,774,553","82,920,832"
16,0.14,"24,855,469",0.549,"13,646,853","177,539,064","97,547,200"
17,0.426,"76,140,625",0.474,"36,072,620","178,733,862","84,757,096"
18,0.577,"103,468,750",0.354,"36,648,734","179,321,924","63,472,001"
19,0.84,"206,279,297",0.373,"77,000,130","245,570,592","91,710,494"
20,1.104,"241,611,328",0.415,"100,265,220","218,850,841","90,828,173"
21,0.807,"142,656,250",0.442,"63,117,693","176,773,544","78,183,691"
22,0.726,"117,500,000",0.36,"42,243,202","161,845,730","58,194,245"
23,1.102,"132,626,953",0.383,"50,788,180","120,351,137","46,087,278"
24,0.131,"24,687,500",0.452,"11,147,650","188,454,198","84,902,134"
25,0.328,"44,433,594",0.36,"16,017,656","135,468,274","48,908,873"
26,0.487,"58,320,313",0.354,"20,619,313","119,754,236","42,304,705"
27,0.764,"82,412,109",0.321,"26,445,677","107,869,253","34,614,760"
28,0.66,"74,867,188",0.322,"24,121,343","113,435,133","36,558,568"
29,0.401,"62,343,750",0.455,"28,338,068","155,470,698","70,668,499"
29a,0.272,"47,841,797",0.453,"21,662,471","175,888,960","79,788,106"
30,1.15,"183,496,094",0.397,"72,811,250","159,561,821","63,297,618"
31,2.004,"265,312,500",0.348,"92,200,798","132,391,467","46,001,496"
32,1.986,"198,378,906",0.342,"67,927,408","99,888,674","34,203,126"
33,0.381,"52,554,688",0.316,"16,591,339","137,938,814","43,558,253"
34,0.21,"24,902,344",0.292,"7,265,087","118,582,590","34,579,188"
35,0.456,"55,617,188",0.289,"16,056,440","121,967,518","35,250,143"
36,0.113,"17,031,250",0.312,"5,311,441","150,719,027","46,962,340"
37,0.413,"63,875,000",0.307,"19,625,000","154,661,017","47,575,758"
38,1.066,"158,671,875",0.312,"49,478,327","148,847,913","46,419,295"
39,0.402,"56,109,375",0.352,"19,753,862","139,575,560","49,200,155"
40,1.201,"166,503,906",0.343,"57,057,413","138,637,724","47,508,254"
41,1.38,"199,218,750",0.305,"60,696,554","144,361,413","43,986,197"
